amp_id,species,mic_ug_per_ml,n_measurements
396,staphylococcus epidermidis,64.0,1
397,escherichia coli,13.333333333333334,3
397,pseudomonas aeruginosa,32.0,1
397,staphylococcus epidermidis,4.0,1
398,escherichia coli,12.0,2
398,pseudomonas aeruginosa,8.0,1
398,staphylococcus epidermidis,4.0,1
398,staphylococcus aureus,32.0,1
398,bacillus subtilis,2.0,1
399,escherichia coli,14.666666666666666,3
399,pseudomonas aeruginosa,32.0,1
399,staphylococcus epidermidis,8.0,1
399,staphylococcus aureus,32.0,1
399,bacillus subtilis,2.0,1
400,escherichia coli,26.666666666666668,3
400,pseudomonas aeruginosa,32.0,1
400,staphylococcus epidermidis,32.0,1
400,staphylococcus aureus,32.0,1
400,bacillus subtilis,16.0,1
401,escherichia coli,3.6666666666666665,3
401,pseudomonas aeruginosa,16.0,1
401,staphylococcus epidermidis,4.0,1
401,staphylococcus aureus,32.0,1
401,bacillus subtilis,2.0,1
402,escherichia coli,2.54,5
402,pseudomonas aeruginosa,12.5875,4
402,staphylococcus epidermidis,4.0,1
402,staphylococcus aureus,32.0,1
402,bacillus subtilis,8.0,1
403,escherichia coli,1.25,2
403,pseudomonas aeruginosa,5.0,2
403,staphylococcus epidermidis,4.0,1
403,staphylococcus aureus,32.0,1
403,bacillus subtilis,4.0,1
404,escherichia coli,1.8333333333333333,3
404,pseudomonas aeruginosa,8.0,1
404,staphylococcus epidermidis,4.0,1
405,escherichia coli,6.166666666666667,3
405,pseudomonas aeruginosa,16.0,1
405,staphylococcus epidermidis,8.0,1
406,escherichia coli,9.0,2
406,pseudomonas aeruginosa,16.0,1
406,staphylococcus epidermidis,8.0,1
406,staphylococcus aureus,32.0,1
406,bacillus subtilis,16.0,1
407,escherichia coli,4.5,2
407,pseudomonas aeruginosa,8.0,1
407,staphylococcus epidermidis,8.0,1
407,staphylococcus aureus,32.0,1
407,bacillus subtilis,4.0,1
410,escherichia coli,100.0,1
410,pseudomonas aeruginosa,4.1,1
410,staphylococcus aureus,100.0,1
411,staphylococcus aureus,20.464285714285715,14
411,staphylococcus epidermidis,9.0,3
411,escherichia coli,19.84722222222222,18
411,pseudomonas aeruginosa,45.265625,16
411,bacillus subtilis,11.75,4
411,klebsiella pneumoniae,67.5,4
412,staphylococcus aureus,16.0,4
412,staphylococcus epidermidis,6.0,2
412,escherichia coli,6.0,2
412,pseudomonas aeruginosa,16.0,1
413,staphylococcus aureus,6.425,4
413,staphylococcus epidermidis,2.0,1
